sseqid,assembly_class
0_2LSVJ2_1,confirmed_partial_correct
1000_2LSVJ2_1,confirmed_full_correct
1001_2LSVJ2_1,confirmed_full_correct
1002_2LSVJ2_1,confirmed_full_correct
1003_2LSVJ2_1,confirmed_full_correct
1004_2LSVJ2_1,confirmed_full_correct
1005_2LSVJ2_1,confirmed_full_correct
1006_2LSVJ2_1,confirmed_full_correct
1007_2LSVJ2_1,confirmed_full_correct
1008_2LSVJ2_1,confirmed_full_correct
1009_2LSVJ2_1,confirmed_full_correct
100_2LSVJ2_1,confirmed_full_correct
1010_2LSVJ2_1,confirmed_full_correct
1011_2LSVJ2_1,confirmed_full_correct
1012_2LSVJ2_1,confirmed_full_correct
1013_2LSVJ2_1,confirmed_full_correct
1014_2LSVJ2_1,confirmed_partial_correct
1015_2LSVJ2_1,confirmed_partial_correct
1016_2LSVJ2_1,confirmed_partial_correct
1017_2LSVJ2_1,confirmed_full_correct
1018_2LSVJ2_1,confirmed_full_correct
1019_2LSVJ2_1,confirmed_full_correct
101_2LSVJ2_1,confirmed_full_correct
1020_2LSVJ2_1,confirmed_full_correct
1021_2LSVJ2_1,confirmed_full_correct
1022_2LSVJ2_1,confirmed_full_correct
1023_2LSVJ2_1,confirmed_full_correct
1024_2LSVJ2_1,confirmed_full_correct
1025_2LSVJ2_1,confirmed_full_correct
1026_2LSVJ2_1,confirmed_full_correct
1027_2LSVJ2_1,confirmed_full_correct
1028_2LSVJ2_1,confirmed_full_correct
1029_2LSVJ2_1,confirmed_full_correct
102_2LSVJ2_1,confirmed_full_correct
1030_2LSVJ2_1,confirmed_full_correct
1031_2LSVJ2_1,confirmed_full_correct
1032_2LSVJ2_1,confirmed_full_correct
1033_2LSVJ2_1,confirmed_full_correct
1034_2LSVJ2_1,confirmed_full_correct
1035_2LSVJ2_1,confirmed_full_correct
1036_2LSVJ2_1,confirmed_full_correct
1037_2LSVJ2_1,confirmed_full_correct
1038_2LSVJ2_1,confirmed_full_correct
1039_2LSVJ2_1,confirmed_full_correct
103_2LSVJ2_1,confirmed_partial_correct
1040_2LSVJ2_1,confirmed_full_correct
1041_2LSVJ2_1,confirmed_full_correct
1042_2LSVJ2_1,confirmed_partial_correct
1043_2LSVJ2_1,confirmed_full_correct
1044_2LSVJ2_1,confirmed_full_correct
1045_2LSVJ2_1,confirmed_full_correct
1046_2LSVJ2_1,confirmed_full_correct
1047_2LSVJ2_1,confirmed_full_correct
1048_2LSVJ2_1,to_be_checked
1049_2LSVJ2_1,confirmed_full_correct
104_2LSVJ2_1,confirmed_full_correct
1050_2LSVJ2_1,confirmed_full_correct
1051_2LSVJ2_1,confirmed_full_correct
1052_2LSVJ2_1,confirmed_full_correct
1053_2LSVJ2_1,confirmed_full_correct
1054_2LSVJ2_1,confirmed_full_correct
1055_2LSVJ2_1,confirmed_full_correct
1056_2LSVJ2_1,confirmed_full_correct
1057_2LSVJ2_1,confirmed_full_correct
1058_2LSVJ2_1,confirmed_full_correct
1059_2LSVJ2_1,confirmed_full_correct
105_2LSVJ2_1,confirmed_full_correct
1060_2LSVJ2_1,confirmed_full_correct
1061_2LSVJ2_1,confirmed_full_correct
1062_2LSVJ2_1,confirmed_full_correct
1063_2LSVJ2_1,confirmed_full_correct
1064_2LSVJ2_1,confirmed_full_correct
1065_2LSVJ2_1,confirmed_full_correct
1066_2LSVJ2_1,confirmed_full_correct
1067_2LSVJ2_1,confirmed_full_correct
1068_2LSVJ2_1,confirmed_full_correct
1069_2LSVJ2_1,confirmed_full_correct
106_2LSVJ2_1,confirmed_full_correct
1070_2LSVJ2_1,confirmed_full_correct
1071_2LSVJ2_1,confirmed_full_correct
1072_2LSVJ2_1,confirmed_full_correct
1073_2LSVJ2_1,confirmed_full_correct
1074_2LSVJ2_1,confirmed_full_correct
1075_2LSVJ2_1,confirmed_full_correct
1076_2LSVJ2_1,confirmed_full_correct
1077_2LSVJ2_1,confirmed_full_correct
1078_2LSVJ2_1,confirmed_full_correct
1079_2LSVJ2_1,confirmed_partial_correct
107_2LSVJ2_1,confirmed_full_correct
1080_2LSVJ2_1,confirmed_full_correct
1081_2LSVJ2_1,confirmed_full_correct
1082_2LSVJ2_1,confirmed_full_correct
1083_2LSVJ2_1,confirmed_full_correct
1084_2LSVJ2_1,confirmed_full_correct
1085_2LSVJ2_1,confirmed_full_correct
1086_2LSVJ2_1,confirmed_full_correct
1087_2LSVJ2_1,confirmed_full_correct
1088_2LSVJ2_1,confirmed_full_correct
1089_2LSVJ2_1,confirmed_partial_correct
108_2LSVJ2_1,confirmed_full_correct
1090_2LSVJ2_1,confirmed_full_correct
1091_2LSVJ2_1,confirmed_full_correct
1092_2LSVJ2_1,confirmed_full_correct
1093_2LSVJ2_1,confirmed_full_correct
1094_2LSVJ2_1,confirmed_full_correct
1095_2LSVJ2_1,confirmed_full_correct
1096_2LSVJ2_1,confirmed_full_correct
1097_2LSVJ2_1,confirmed_full_correct
1098_2LSVJ2_1,confirmed_full_correct
1099_2LSVJ2_1,confirmed_full_correct
109_2LSVJ2_1,confirmed_full_correct
10_2LSVJ2_1,confirmed_partial_correct
1100_2LSVJ2_1,confirmed_full_correct
1101_2LSVJ2_1,confirmed_full_correct
1102_2LSVJ2_1,confirmed_partial_correct
1103_2LSVJ2_1,confirmed_full_correct
1104_2LSVJ2_1,confirmed_full_correct
1105_2LSVJ2_1,confirmed_full_correct
1106_2LSVJ2_1,confirmed_full_correct
1107_2LSVJ2_1,confirmed_partial_correct
1108_2LSVJ2_1,confirmed_full_correct
1109_2LSVJ2_1,confirmed_full_correct
110_2LSVJ2_1,confirmed_full_correct
1110_2LSVJ2_1,confirmed_full_correct
1111_2LSVJ2_1,confirmed_full_correct
1112_2LSVJ2_1,confirmed_full_correct
1113_2LSVJ2_1,confirmed_full_correct
1114_2LSVJ2_1,confirmed_full_correct
1115_2LSVJ2_1,confirmed_full_correct
